 CÓDIGO ;Número;Ramal/Estrada;Classificação;Segmentação;Rodovia/Estrada de acesso;Ponto de referencia ;Local de Início ;Local Termino ;Município;Calha;Extensão (km);Extensão de Obra (km);Und;Latitude Inicial;Longitude Inicial;Latitude Final;Longitude Final;Traçado KML;Traçado SHP;Ficha de Cadastro;Fotos;Relatorio;Mapa ;Assentamento Oficial;Acesso a Comunidades ou Distritos;Zona Agrícola ou Agropecuária;Zonas ou Pontos de Turísticos ;Atividade Industrial ;Nota Uso de Solo;População;Qtd. Sub-Vicinais ;Nota Nível de Ocupação;Acesso intermodal;Via de Acesso Alternativa ;Boa trafegabilidade terrestre;Infraestrutura de Acesso ;Acesso a serviços publicos;Nota de Vulnerabilidade de Transporte;Relevo;Tipo de Terreno;Unidades de Conservação;Sitio Arqueológico ;Terra Indigena ;OAES;Nota de Dificuldade de Elaboração de projeto e execução;Desenvolvimento Local;Vulnerabilidade de transporte ;Dificuldade de Elaboração;Soma;Prioridade;Revestimento;Qualidade do Pavimento Existente ;Fonte;Situação;ANO DE CONCLUSÃO;numero_ct_cv;RESUMO DO OBJETO;Custo Estimado ;Custo Contratatado 
 RMALV ;1;RAMAL DO JARAUÁ ;ESTRADA;PRIMÁRIO;AM-363;AM-362 - KM 4,33;Início do Ramal do Jarauá - Am-362 - Km 4,33;Fim do Ramal do Jarauá - Km 2,7;ALVARÃES;INTERIOR;2,60;;km;"  3°14'9.57""S";" 64°49'45.33""W";"  3°15'4.63""S";" 64°50'48.25""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;;A VISITAR;;;;R$ 6.500.000,00;
RMMAO;333;RAMAL DE ACESSO A UNIDADE PRISIONAL;ESTRADA;PRIMÁRIO;BR-174;BR-174 - KM 08 ;Início Ramal Acesso Unidade Prisional - Manaus - Br-174 - 8 Km;Fim do Ramal de Acesso a Unidade Prisional - Manaus - 2,16 Km;MANAUS;RMM;2,16;2,16;km;"  2°54'36.75""S";" 60° 2'18.22""W";"  2°54'24.05""S";" 60° 1'18.47""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAVIMENTADA;;SEINFRA ;CONCLUÍDO;;CT-00002/2022-SEINFRA;Ramais de Acesso as Unidades Prisionais, localizados na Rodovia BR-174, kM 8– em Manaus;R$ 5.400.000,00;R$ 2.798.055,65
RMCRO;63;RAMAL SÃO JOSÉ;ESTRADA;PRIMÁRIO;AM-354;AM-354 - KM 11,13;Início do Ramal do São José - Am-354 - Km 11,13;Fim do Ramal do São José - Km 4,74;CAREIRO;RMM;4,74;14,42;km;"  3°41'8.51""S";" 60°20'46.15""W";"  3°39'46.53""S";" 60°18'37.40""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PAVIMENTADA;;SEINFRA ;VISITADO / CONCLUÍDO;;CT-00004/2017-SEINFRA;Ramal do São José;R$ 11.850.000,00;R$ 10.309.060,36
RMATZ;4;RAMAL DO kM 21 - AM-254 ;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 21,82;Início do Ramal do Km 21 - Am-254 - Km 21,82;Fim do Ramal do Km 21 - Am-254 - Ramal do Maçarico - Km 7;AUTAZES;RMM;7,00;;km;"  3°32'23.71""S";" 59°46'55.54""W";"  3°35'24.70""S";" 59°49'9.30""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;VISITADO;;;;R$ 17.500.000,00;
RMATZ;5;RAMAL DO kM 26 - AM-254 ;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 26,38;Início do Ramal do Km 26 - Am-254 - Km 26,38;Fim do Ramal do Km 26 - Am-254 - Km 9,74;AUTAZES;RMM;9,74;;km;"  3°33'58.92""S";" 59°45'2.05""W";"  3°38'2.22""S";" 59°48'23.42""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 24.350.000,00;
RMATZ;6;RAMAL DO kM 26 - MD - AM-254;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 26,40;Início do Ramal do Km 26 - MD - Am-254 - Km 26,40;Fim Ramal do Km 26 - MD - Am-254 - Km 5,65;AUTAZES;RMM;5,65;;km;"  3°33'58.79""S";" 59°45'1.59""W";"  3°31'18.32""S";" 59°44'4.04""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 14.125.000,00;
RMATZ;7;RAMAL DO kM 29 - MD - AM-254 ;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 29,30;Início do Ramal do KM 29 - MD - Am-254 - Km 29,30 ;Fim do Ramal do Km 29 - MD - AM-254 - Km 15,3;AUTAZES;RMM;15,30;;km;"  3°34'27.07""S";" 59°43'33.71""W";"  3°26'36.17""S";" 59°41'46.83""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 38.250.000,00;
RMATZ;8;RAMAL DO kM 29 - AM-254;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 29,47;Início do Ramal do Km 29 -Am-254 - Km 29,47;Fim do Ramal do Km 29 - Am-254 - Km 7,89;AUTAZES;RMM;7,89;;km;"  3°34'28.39""S";" 59°43'28.58""W";"  3°38'39.36""S";" 59°43'50.74""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 19.725.000,00;
RMATZ;9;RAMAL DO kM 33 - AM-254;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 33,14;Início do Ramal do Km 33 - Am-254 - Km 33,14;Fim do Ramal do Km 33 - Am-254 - Km 8,1;AUTAZES;RMM;8,10;;km;"  3°34'49.09""S";" 59°41'32.68""W";"  3°39'2.13""S";" 59°41'57.59""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;VISITADO;;;;R$ 20.250.000,00;
RMATZ;10;RAMAL DO kM 33 - MD - AM-254 ;ESTRADA;PRIMÁRIO;AM-254 ;AM-254 - KM 33,20;Início do Ramal do Km 33 - MD - Am-254 - Km 33,20;Fim do Ramal do Km 33 - MD - Km 10,8;AUTAZES;RMM;10,80;;km;"  3°34'48.89""S";" 59°41'30.73""W";"  3°29'9.90""S";" 59°40'13.09""W";Ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LEITO NATURAL;;SEINFRA ;A VISITAR;;;;R$ 27.000.000,00;
